SRR10179516_cap3_Contig-1	3699	0.0	90.051	1176	NP_477522	polyprotein [Zucchini yellow mosaic virus]	12232
SRR10179516_cap3_Contig-2	439	1.98e-60	66.438	146	NP_620106	RNA replicase/coat protein [Cherry virus A]	42882
SRR10179516_cap3_Contig-3	377	2.06e-22	45.545	101	YP_010802572	putative replication-associated protein (RP) [Loquat virus A]	2683823
SRR10179516_cap3_Contig-4	308	1.88e-56	83.333	102	YP_001816770	ORF1b [Bean yellow disorder virus]	267970
SRR10179516_cap3_Contig-5	259	5.34e-41	77.647	85	YP_010800281	RNA dependent RNA polymerase [Plasmopara viticola lesion associated ourmia-like virus 88]	2686562
SRR10179516_cap3_Contig-6	246	2.68e-44	88.889	81	YP_010800233	RNA dependent RNA polymerase [Plasmopara viticola lesion associated ourmia-like virus 38]	2686507
SRR10179516_cap3_Contig-7	246	7.55e-38	70.000	80	YP_009507831	RNA-dependent RNA polymerase, partial [Scheffersomyces segobiensis virus L]	1300323
SRR10179516_cap3_Contig-8	221	2.88e-33	79.452	73	YP_010800233	RNA dependent RNA polymerase [Plasmopara viticola lesion associated ourmia-like virus 38]	2686507
SRR10179516_cap3_Contig-9	209	2.22e-27	71.429	70	YP_010800220	RNA dependent RNA polymerase, partial [Plasmopara viticola lesion associated ourmia-like virus 20]	2686488
SRR10179516_cap3_Contig-10	208	3.26e-14	53.623	69	YP_010797482	RNA-dependent RNA polymerase [Pyricularia oryzae ourmia-like virus 3]	2291942
SRR10179516_cap3_Contig-11	193	5.26e-11	48.000	50	YP_009337409	hypothetical protein 1 [Wenzhou gastropodes virus 1]	1923563
SRR10179516_cap3_Contig-12	192	4.33e-16	61.905	63	YP_010800246	RNA dependent RNA polymerase [Plasmopara viticola lesion associated ourmia-like virus 51]	2686522
SRR10179516_cap3_Contig-13	177	5.84e-19	63.793	58	YP_009507829	polyprotein [Scheffersomyces segobiensis virus L]	1300323
SRR10179516_cap3_Contig-14	168	1.20e-14	64.151	53	YP_010800276	RNA dependent RNA polymerase, partial [Plasmopara viticola lesion associated ourmia-like virus 82]	2686556
SRR10179516_cap3_Contig-15	165	5.75e-16	63.462	52	YP_009507829	polyprotein [Scheffersomyces segobiensis virus L]	1300323
SRR10179516_cap3_Contig-16	156	4.22e-13	52.941	51	YP_009230120	polyprotein [Marine RNA virus PAL156]	1804154
SRR10179516_cap3_Contig-17	152	8.48e-07	45.652	46	NP_054007	RNA-dependent RNA polymerase [Carrot mottle mimic virus]	47736
SRR10179516_cap3_Contig-18	151	1.11e-18	71.739	46	YP_010800280	RNA dependent RNA polymerase [Plasmopara viticola lesion associated ourmia-like virus 87]	2686561
SRR10179516_cap3_Contig-19	150	2.45e-25	91.837	49	NP_851780	replicase [Cucurbit yellow stunting disorder virus]	51330
SRR10179516_cap3_Contig-20	135	1.2	39.024	41	YP_010754177	minor tail protein [Rhodococcus phage ChewyVIII]	1887657
SRR10179516_cap3_Contig-21	128	2.12e-13	71.429	42	NP_620106	RNA replicase/coat protein [Cherry virus A]	42882
SRR10179516_cap3_Contig-22	124	1.31e-12	70.732	41	YP_009447921	ORF1+2p [Allium cepa amalgavirus 2]	2058779
SRR10179516_cap3_Contig-23	113	3.81e-14	78.378	37	NP_620106	RNA replicase/coat protein [Cherry virus A]	42882
SRR10179516_cap3_Contig-24	109	2.04e-12	77.143	35	YP_008327312	RNA-dependent RNA polymerase [Ustilaginoidea virens partitivirus 2]	1415665
