SRR15508011_cap3_Contig-1	2750	4.76e-52	38.811	286	YP_009342461	hypothetical protein [Wuhan heteroptera virus 2]	1923702
SRR15508011_cap3_Contig-2	1729	2.44e-176	51.264	554	YP_009345598	polyprotein [Bat sapovirus]	1959930
SRR15508011_cap3_Contig-3	668	5.58e-53	45.740	223	YP_009337354	hypothetical protein 3 [Wenzhou sobemo-like virus 3]	1923659
SRR15508011_cap3_Contig-4	599	1.55e-49	41.919	198	YP_010799357	putative RdRp-complex [Linepithema humile rhabdo-like virus 1]	2259786
SRR15508011_cap3_Contig-5	581	6.08e-28	35.484	186	YP_010801065	putative large polymerase protein [Anisopteromalus calandrae negative-strand RNA virus 1]	2848909
SRR15508011_cap3_Contig-6	526	2.47e-37	47.143	140	YP_009337877	hypothetical protein 2 [Hubei mosquito virus 2]	1922926
SRR15508011_cap3_Contig-7	488	3.91e-11	38.750	80	YP_009337693	RdRp [Hubei virga-like virus 15]	1923330
SRR15508011_cap3_Contig-8	446	2.22e-21	40.741	135	YP_010800904	putative replicase [Jimsystermes virus]	2796600
SRR15508011_cap3_Contig-9	348	6.30e-24	48.246	114	YP_009337188	hypothetical protein 2 [Sanxia tombus-like virus 5]	1923389
SRR15508011_cap3_Contig-10	296	4.25e-43	74.725	91	NP_077730	RNA dependent RNA polymerase protein A [Nodamura virus]	12288
SRR15508011_cap3_Contig-11	251	2.73e-17	48.718	78	YP_009337737	hypothetical protein 2 [Hubei tombus-like virus 6]	1923293
SRR15508011_cap3_Contig-12	251	8.74e-22	52.381	84	YP_009337188	hypothetical protein 2 [Sanxia tombus-like virus 5]	1923389
SRR15508011_cap3_Contig-13	251	4.00e-08	39.130	69	YP_009513239	RNA-dependent RNA polymerase [Solenopsis invicta virus 2]	439491
SRR15508011_cap3_Contig-14	251	3.22e-05	36.364	77	YP_009337370	hypothetical protein 1 [Changjiang tombus-like virus 2]	1922813
SRR15508011_cap3_Contig-15	251	0.062	26.087	92	YP_068083	E4 34K [Tree shrew adenovirus 1]	47680
SRR15508011_cap3_Contig-16	250	4.74e-28	76.923	78	YP_009337438	hypothetical protein [Sanxia water strider virus 9]	1923408
SRR15508011_cap3_Contig-17	245	2.86e-18	58.824	68	YP_009337843	hypothetical protein 2 [Sanxia water strider virus 10]	1923394
SRR15508011_cap3_Contig-18	234	8.33e-07	82.353	17	YP_009551587	RdRp [Melon chlorotic spot virus]	2479459
SRR15508011_cap3_Contig-19	220	1.19e-39	86.301	73	NP_689444	protein A [Flock House virus]	12287
SRR15508011_cap3_Contig-20	198	5.99e-06	75.000	24	YP_009329992	hypothetical protein 2 [Hubei sobemo-like virus 11]	1923196
SRR15508011_cap3_Contig-21	195	1.99e-09	44.643	56	YP_009407905	RNA-dependent RNA polymerase [Lasius neglectus virus 1]	2018501
SRR15508011_cap3_Contig-22	193	1.39e-09	47.541	61	YP_009342325	hypothetical protein [Wuhan house centipede virus 3]	1923707
SRR15508011_cap3_Contig-23	192	3.65e-16	56.452	62	YP_009337113	RNA-dependent RNA polymerase [Hubei tombus-like virus 28]	1923275
SRR15508011_cap3_Contig-24	177	1.22e-15	58.621	58	YP_009337055	hypothetical protein 1 [Hubei picorna-like virus 20]	1923100
SRR15508011_cap3_Contig-25	162	2.9	45.000	20	YP_009205473	head maturation protease [Mycobacterium phage Archie]	1718599
SRR15508011_cap3_Contig-26	160	8.41e-33	98.077	52	YP_003858583	ORF1ab polyprotein [Bat coronavirus BM48-31/BGR/2008]	864596
SRR15508011_cap3_Contig-27	159	3.77e-07	46.000	50	YP_009329869	RdRp [Beihai barnacle virus 13]	1922357
SRR15508011_cap3_Contig-28	152	4.02e-13	52.083	48	YP_009337188	hypothetical protein 2 [Sanxia tombus-like virus 5]	1923389
SRR15508011_cap3_Contig-30	142	1.88e-18	77.778	45	YP_009337078	hypothetical protein 2 [Hubei tombus-like virus 15]	1923261
SRR15508011_cap3_Contig-31	126	2.02e-14	100.000	28	YP_009199789	ORF1ab polyprotein [BtRf-AlphaCoV/HuB2013]	1503292
SRR15508011_cap3_Contig-32	123	4.03e-10	62.857	35	YP_009305136	RNA-dependent RNA polymerase [Wuhan horsefly Virus]	1608139
SRR15508011_cap3_Contig-33	109	7.60e-07	58.333	36	YP_009330010	hypothetical protein 2 [Hubei sobemo-like virus 10]	1923195
SRR15508011_cap3_Contig-34	91	4.67e-14	96.667	30	YP_008439222	nsp12 [Bat coronavirus CDPHE15/USA/2006]	1384461
