,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_13440,k141_403550,14.078773,102,51,Livupivirus,1.9,polyprotein,7.409880526315789,309,6,309
1,vHMM_13440,k141_544534,12.417735,69,120,Livupivirus,1.9,polyprotein,6.53565,380,3,380
2,vHMM_13440,k141_611257,12.342958,222,267,Livupivirus,1.9,polyprotein,6.496293684210526,349,1,349
3,vHMM_13440,k141_175009,12.185922,9,36,Livupivirus,1.9,polyprotein,6.413643157894737,339,3,339
4,vHMM_13440,k141_198954,11.946392,99,132,Livupivirus,1.9,polyprotein,6.287574736842105,323,1,323
5,vHMM_13440,k141_456533,10.95068,84,129,Livupivirus,1.9,polyprotein,5.763515789473685,537,2,537
6,vHMM_13440,k141_972261,10.475646,127,88,Livupivirus,1.9,polyprotein,5.513497894736842,358,4,358
7,vHMM_13440,k141_143320,10.022589,18,39,Livupivirus,1.9,polyprotein,5.275046842105263,530,3,530
8,vHMM_13440,k141_217147,9.183489,178,154,Livupivirus,1.9,polyprotein,4.833415263157895,370,6,370
9,vHMM_13440,k141_584718,8.440211,270,315,Livupivirus,1.9,polyprotein,4.442216315789474,478,2,478
10,vHMM_13440,k141_1002569,8.071662,94,55,Livupivirus,1.9,polyprotein,4.248243157894737,550,4,550
11,vHMM_13440,k141_716876,6.9820175,153,189,Livupivirus,1.9,polyprotein,3.6747460526315794,311,1,311
12,vHMM_13629,k141_267249,16.979822,246,285,Sakobuvirus,4.8,polyprotein,3.5374629166666667,578,1,578
13,vHMM_13440,k141_1014261,6.1988645,75,111,Livupivirus,1.9,polyprotein,3.2625602631578947,315,2,315
14,vHMM_13440,k141_1014261,6.1988645,249,285,Livupivirus,1.9,polyprotein,3.2625602631578947,315,2,315
15,vHMM_13440,k141_587458,5.925391,222,189,Livupivirus,1.9,polyprotein,3.1186268421052636,306,4,306
16,vHMM_13629,k141_915714,13.133572,528,498,Sakobuvirus,4.8,polyprotein,2.7361608333333334,1044,4,1044
17,vHMM_13629,k141_677957,12.95609,9,63,Sakobuvirus,4.8,polyprotein,2.699185416666667,591,3,591
18,vHMM_13629,k141_733925,12.801971,161,122,Sakobuvirus,4.8,polyprotein,2.6670772916666667,404,6,404
19,vHMM_13629,k141_210467,12.767818,158,104,Sakobuvirus,4.8,polyprotein,2.6599620833333333,482,5,482
20,vHMM_13629,k141_590973,12.736317,312,258,Sakobuvirus,4.8,polyprotein,2.6533993750000002,402,5,402
