,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_18374,k141_1745,2788.4922,4190,2,Crohivirus,8.4,polyprotein,331.96335714285715,4196,5,4196
1,vHMM_18374,k141_386,1360.5956,2077,79,Crohivirus,8.4,polyprotein,161.97566666666668,2080,6,2080
2,vHMM_18387,k141_1745,1428.2645,4187,8,Parechovirus,15.8,polyprotein,90.39648734177214,4196,5,4196
3,vHMM_18388,k141_1745,972.17474,4181,83,Pasivirus,12.6,polyprotein,77.15672539682541,4196,5,4196
4,vHMM_18387,k141_386,788.60736,2065,79,Parechovirus,15.8,polyprotein,49.9118582278481,2080,6,2080
5,vHMM_18388,k141_386,486.2957,2038,136,Pasivirus,12.6,polyprotein,38.59489682539683,2080,6,2080
6,vHMM_18391,k141_386,421.69592,2035,82,Potamipivirus,11.3,polyprotein,37.31822300884956,2080,6,2080
7,vHMM_8357,k141_1793,857.24176,3,1647,Sapovirus,24.6,polyprotein;nonstructural,34.84722601626016,1660,1,1660
8,vHMM_18363,k141_1745,733.8128,4187,8,Picornaviridae,23.0,polyprotein,31.90490434782609,4196,5,4196
9,vHMM_18381,k141_386,374.5972,2056,151,Kunsagivirus,12.1,polyprotein,30.958446280991737,2080,6,2080
10,vHMM_18391,k141_1745,319.084,2126,416,Potamipivirus,11.3,polyprotein,28.237522123893804,4196,5,4196
11,vHMM_8355,k141_1793,291.9279,3,1647,Lagovirus,10.5,polyprotein;nonstructural,27.802657142857147,1660,1,1660
12,vHMM_18363,k141_386,623.1001,2062,109,Picornaviridae,23.0,polyprotein,27.091308695652174,2080,6,2080
13,vHMM_18382,k141_386,307.9394,1633,157,Limnipivirus,11.6,polyprotein,26.546499999999998,2080,6,2080
14,vHMM_18370,k141_386,400.12,1951,163,Avisivirus,16.1,polyprotein,24.852173913043476,2080,6,2080
15,vHMM_8354,k141_1793,581.2323,3,1647,Caliciviridae,23.8,polyprotein;nonstructural,24.421525210084035,1660,1,1660
16,vHMM_18391,k141_1745,273.61124,4187,2351,Potamipivirus,11.3,polyprotein,24.213384070796458,4196,5,4196
17,vHMM_18370,k141_1745,377.25,2108,65,Avisivirus,16.1,polyprotein,23.43167701863354,4196,5,4196
18,vHMM_18373,k141_386,184.20433,1885,130,Cosavirus,8.6,polyprotein,21.419108139534885,2080,6,2080
19,vHMM_18368,k141_386,213.46928,1792,154,Aquamavirus,10.0,polyprotein,21.346928,2080,6,2080
20,vHMM_18375,k141_386,274.9861,1831,115,Enterovirus,13.0,polyprotein,21.152776923076924,2080,6,2080
21,vHMM_18393,k141_386,203.44466,1891,157,Rosavirus,9.9,polyprotein,20.549965656565657,2080,6,2080
22,vHMM_18371,k141_386,274.56992,1885,115,Bopivirus,13.7,polyprotein,20.041600000000003,2080,6,2080
23,vHMM_18370,k141_1745,313.89224,4187,2096,Avisivirus,16.1,polyprotein,19.496412422360248,4196,5,4196
24,vHMM_8358,k141_1793,336.59915,3,1647,Vesivirus,17.8,polyprotein;nonstructural,18.910064606741575,1660,1,1660
25,vHMM_18386,k141_386,162.14903,1630,157,Oscivirus,9.2,polyprotein,17.624894565217392,2080,6,2080
26,vHMM_18379,k141_386,204.21901,1615,127,Hepatovirus,11.8,polyprotein,17.306695762711865,2080,6,2080
27,vHMM_18384,k141_386,224.4176,1894,154,Megrivirus,13.3,polyprotein,16.873503759398496,2080,6,2080
28,vHMM_18367,k141_386,182.20695,1780,304,Aphthovirus,10.9,polyprotein,16.71623394495413,2080,6,2080
29,vHMM_18364,k141_386,378.90195,1885,118,Aalivirus,23.2,polyprotein,16.331980603448276,2080,6,2080
30,vHMM_18368,k141_1745,160.60133,4178,3002,Aquamavirus,10.0,polyprotein,16.060133,4196,5,4196
31,vHMM_8353,k141_205,186.77269,542,5,Vesivirus,12.0,capsid,15.564390833333334,545,6,545
32,vHMM_18368,k141_1745,155.0268,1295,407,Aquamavirus,10.0,polyprotein,15.502680000000002,4196,5,4196
33,vHMM_18381,k141_1745,186.38635,1289,449,Kunsagivirus,12.1,polyprotein,15.403830578512396,4196,5,4196
34,vHMM_18390,k141_386,179.42601,1888,118,Poecivirus,11.9,polyprotein,15.077815966386554,2080,6,2080
35,vHMM_18385,k141_386,196.4927,1840,142,Mosavirus,13.1,polyprotein,14.999442748091605,2080,6,2080
36,vHMM_18378,k141_386,138.25883,1846,157,Harkavirus,9.4,polyprotein,14.708386170212764,2080,6,2080
37,vHMM_18380,k141_386,157.69727,1627,97,Hunnivirus,11.0,polyprotein,14.336115454545455,2080,6,2080
38,vHMM_18373,k141_1745,123.251564,1277,458,Cosavirus,8.6,polyprotein,14.331577209302326,4196,5,4196
