,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_3436,k141_349,13.316245,153,231,Lagovirus,11.5,polyprotein;nonstructural,1.157934347826087,301,2,301
1,vHMM_13252,k141_221,11.151038,193,166,Avisivirus,10.9,polyprotein,1.0230310091743118,301,5,301
2,vHMM_13274,k141_256,10.961358,102,132,Crohivirus,10.8,polyprotein,1.0149405555555555,301,2,301
3,vHMM_13252,k141_361,10.974715,99,126,Avisivirus,10.9,polyprotein,1.0068545871559633,301,2,301
4,vHMM_13438,k141_307,12.536509,219,252,Livupivirus,12.5,polyprotein,1.00292072,301,2,301
5,vHMM_13208,k141_272,11.672279,90,156,Aquamavirus,11.7,polyprotein,0.9976306837606838,301,2,301
6,vHMM_13208,k141_190,11.672279,84,150,Aquamavirus,11.7,polyprotein,0.9976306837606838,301,1,301
7,vHMM_13119,k141_221,12.188968,208,160,Aalivirus,12.3,polyprotein,0.9909730081300812,301,5,301
8,vHMM_13643,k141_227,9.100734,186,210,Senecavirus,9.8,polyprotein,0.9286463265306121,301,1,301
9,vHMM_13438,k141_6,11.157881,73,37,Livupivirus,12.5,polyprotein,0.89263048,301,6,301
10,vHMM_13519,k141_19,14.299188,261,297,Passerivirus,16.9,polyprotein,0.8461057988165681,301,2,301
11,vHMM_13208,k141_108,9.86827,84,144,Aquamavirus,11.7,polyprotein,0.8434418803418805,301,1,301
12,vHMM_3489,k141_330,9.397657,289,241,Sapovirus,12.4,polyprotein;nonstructural,0.757875564516129,301,6,301
13,vHMM_13290,k141_61,8.941774,54,21,Erbovirus,14.7,polyprotein,0.6082839455782314,459,5,459
