,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_13440,k141_106877,12.810996,259,208,Livupivirus,1.9,polyprotein,6.742629473684211,316,5,316
1,vHMM_13440,k141_166792,11.392538,117,150,Livupivirus,1.9,polyprotein,5.996072631578948,383,2,383
2,vHMM_13440,k141_137136,10.902229,696,747,Livupivirus,1.9,polyprotein,5.738015263157895,1742,2,1742
3,vHMM_13440,k141_286785,10.879241,208,157,Livupivirus,1.9,polyprotein,5.725916315789474,1837,4,1837
4,vHMM_13440,k141_163063,10.355428,231,264,Livupivirus,1.9,polyprotein,5.450225263157895,364,2,364
5,vHMM_13440,k141_319001,8.491634,333,372,Livupivirus,1.9,polyprotein,4.469281052631579,439,2,439
6,vHMM_13440,k141_34458,5.952343,42,78,Livupivirus,1.9,polyprotein,3.132812105263158,320,3,320
7,vHMM_13629,k141_9165,13.929219,150,195,Sakobuvirus,4.8,polyprotein,2.9019206250000003,329,2,329
8,vHMM_13629,k141_281621,12.947298,61,28,Sakobuvirus,4.8,polyprotein,2.69735375,391,5,391
9,vHMM_13330,k141_58565,18.404778,396,321,Harkavirus,7.0,polyprotein,2.629254,420,5,420
10,vHMM_13629,k141_141665,12.501851,327,366,Sakobuvirus,4.8,polyprotein,2.604552291666667,370,3,370
11,vHMM_13440,k141_34458,4.817324,171,213,Livupivirus,1.9,polyprotein,2.5354336842105267,320,3,320
12,vHMM_13629,k141_306899,11.705812,144,99,Sakobuvirus,4.8,polyprotein,2.4387108333333334,441,5,441
13,vHMM_13629,k141_330960,11.665622,138,174,Sakobuvirus,4.8,polyprotein,2.4303379166666668,634,1,634
14,vHMM_13440,k141_258350,4.5864754,282,321,Livupivirus,1.9,polyprotein,2.4139344210526317,443,3,443
15,vHMM_13440,k141_258350,4.5864754,174,213,Livupivirus,1.9,polyprotein,2.4139344210526317,443,3,443
16,vHMM_13629,k141_255463,11.541367,51,78,Sakobuvirus,4.8,polyprotein,2.4044514583333334,366,2,366
17,vHMM_13728,k141_261819,12.886155,300,351,Tremovirus,5.5,polyprotein,2.342937272727273,430,1,430
18,vHMM_13629,k141_239468,11.1808,189,228,Sakobuvirus,4.8,polyprotein,2.3293333333333335,375,2,375
19,vHMM_13440,k141_258350,4.394699,66,105,Livupivirus,1.9,polyprotein,2.3129994736842105,443,3,443
20,vHMM_13728,k141_43645,12.593954,84,105,Tremovirus,5.5,polyprotein,2.2898098181818183,362,2,362
21,vHMM_3457,k141_348112,15.027743,81,132,Norovirus,6.7,polyprotein;nonstructural,2.24294671641791,652,2,652
22,vHMM_13631,k141_177451,11.452607,135,171,Sakobuvirus,5.3,polyprotein,2.160869245283019,352,2,352
23,vHMM_3457,k141_66739,14.43003,177,219,Norovirus,6.7,polyprotein;nonstructural,2.1537358208955224,351,2,351
24,vHMM_13728,k141_145324,11.479966,117,144,Tremovirus,5.5,polyprotein,2.087266545454545,328,3,328
25,vHMM_13629,k141_365030,10.015135,50,17,Sakobuvirus,4.8,polyprotein,2.086486458333334,269,5,269
26,vHMM_13728,k141_46765,11.431582,153,174,Tremovirus,5.5,polyprotein,2.0784694545454547,397,2,397
27,vHMM_13728,k141_171846,11.224699,339,381,Tremovirus,5.5,polyprotein,2.0408543636363636,568,2,568
28,vHMM_13728,k141_197216,11.10444,342,372,Tremovirus,5.5,polyprotein,2.018989090909091,381,3,381
29,vHMM_13728,k141_205923,10.9822,150,171,Tremovirus,5.5,polyprotein,1.9967636363636365,529,2,529
30,vHMM_3413,k141_259362,13.033272,98,35,Vesivirus,6.6,capsid,1.974738181818182,494,5,494
31,vHMM_13365,k141_96663,14.699944,306,339,Hepatovirus,7.5,polyprotein,1.9599925333333335,411,2,411
32,vHMM_13728,k141_46371,10.756682,51,12,Tremovirus,5.5,polyprotein,1.9557603636363636,528,4,528
33,vHMM_13330,k141_276924,13.499448,207,243,Harkavirus,7.0,polyprotein,1.9284925714285712,557,2,557
34,vHMM_13629,k141_326571,9.226825,310,286,Sakobuvirus,4.8,polyprotein,1.9222552083333333,325,5,325
35,vHMM_13365,k141_344149,14.40089,131,92,Hepatovirus,7.5,polyprotein,1.9201186666666668,452,4,452
36,vHMM_13149,k141_151542,16.09194,72,120,Ampivirus,8.4,polyprotein,1.9157071428571428,354,1,354
37,vHMM_13359,k141_290735,14.254909,123,165,Hepatovirus,7.5,polyprotein,1.9006545333333333,485,2,485
38,vHMM_13330,k141_144474,13.26065,487,448,Harkavirus,7.0,polyprotein,1.8943785714285715,583,6,583
39,vHMM_13728,k141_15133,10.369248,474,453,Tremovirus,5.5,polyprotein,1.8853178181818182,597,4,597
