,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_3441,k141_44411,13.065335,178,82,Lagovirus,6.0,polyprotein;nonstructural,2.1775558333333334,316,4,316
1,vHMM_3457,k141_31308,13.826382,75,162,Norovirus,6.7,polyprotein;nonstructural,2.063639104477612,309,2,309
2,vHMM_13367,k141_28940,20.218079,147,201,Hepatovirus,11.3,polyprotein,1.7892105309734512,433,2,433
3,vHMM_13223,k141_503,17.197517,489,576,Avihepatovirus,10.1,polyprotein,1.7027244554455447,615,1,615
4,vHMM_13224,k141_535,11.087236,123,84,Avihepatovirus,6.6,polyprotein,1.6798842424242426,390,5,390
5,vHMM_13359,k141_28370,12.154735,268,238,Hepatovirus,7.5,polyprotein,1.6206313333333333,397,5,397
6,vHMM_13251,k141_42029,17.543232,51,108,Avisivirus,11.3,polyprotein,1.552498407079646,326,3,326
7,vHMM_13604,k141_20530,14.67468,135,108,Rosavirus,9.5,polyprotein,1.5447031578947368,777,4,777
8,vHMM_13109,k141_36816,13.268051,231,261,Aalivirus,8.6,polyprotein,1.5427966279069767,573,2,573
9,vHMM_13239,k141_59,16.68785,503,470,Avihepatovirus,11.1,polyprotein,1.50340990990991,983,4,983
10,vHMM_13374,k141_897,14.762831,819,846,Hunnivirus,9.9,polyprotein,1.4911950505050504,2183,1,2183
11,vHMM_13333,k141_38852,14.883998,24,75,Harkavirus,10.1,polyprotein,1.4736631683168318,389,2,389
12,vHMM_13354,k141_21924,17.80098,147,177,Hepatovirus,12.1,polyprotein,1.4711553719008263,331,1,331
13,vHMM_13583,k141_35842,12.634212,129,156,Rafivirus,8.7,polyprotein,1.4522082758620691,203,1,203
14,vHMM_13251,k141_5061,16.391644,250,193,Avisivirus,11.3,polyprotein,1.4505879646017699,553,4,553
15,vHMM_13312,k141_26740,14.563907,244,202,Gallivirus,10.1,polyprotein,1.44197099009901,556,6,556
16,vHMM_3423,k141_2808,10.821081,337,301,Caliciviridae,7.6,polyprotein;nonstructural,1.423826447368421,343,6,343
17,vHMM_3423,k141_6703,10.727528,160,136,Caliciviridae,7.6,polyprotein;nonstructural,1.411516842105263,367,5,367
18,vHMM_13223,k141_20352,14.21816,141,228,Avihepatovirus,10.1,polyprotein,1.407738613861386,362,3,362
19,vHMM_13682,k141_19237,15.335005,147,93,Teschovirus,10.9,polyprotein,1.4068811926605505,402,4,402
20,vHMM_13333,k141_35884,14.098817,201,252,Harkavirus,10.1,polyprotein,1.3959224752475248,583,3,583
21,vHMM_3492,k141_36483,15.692167,282,351,Sapovirus,11.4,polyprotein;nonstructural,1.3765058771929823,354,1,354
22,vHMM_13365,k141_33976,10.206788,24,45,Hepatovirus,7.5,polyprotein,1.3609050666666667,230,3,230
23,vHMM_2449,k141_28351,11.682171,255,294,Avastrovirus,8.6,polyprotein 1ab,1.358391976744186,309,1,309
24,vHMM_13294,k141_16195,13.91773,180,213,Erbovirus,10.3,polyprotein,1.3512359223300972,360,1,360
25,vHMM_13527,k141_22024,15.220897,1225,1186,Passerivirus,11.3,polyprotein,1.34698203539823,2326,5,2326
26,vHMM_13422,k141_8539,16.572048,299,197,Limnipivirus,12.4,polyprotein,1.3364554838709677,935,5,935
27,vHMM_13682,k141_15035,14.463851,15,69,Teschovirus,10.9,polyprotein,1.3269588073394496,205,1,205
28,vHMM_2442,k141_34154,17.080227,117,201,Avastrovirus,13.0,polyprotein 1ab,1.3138636153846155,310,1,310
29,vHMM_13111,k141_12822,15.016318,426,387,Aalivirus,11.6,polyprotein,1.294510172413793,810,6,810
30,vHMM_13733,k141_12754,11.091904,265,235,Tremovirus,8.6,polyprotein,1.2897562790697674,301,5,301
31,vHMM_3507,k141_6703,17.627274,160,130,Vesivirus,13.8,polyprotein;nonstructural,1.277338695652174,367,5,367
