,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_2430,k141_4151,106.86535,606,759,Astroviridae,11.9,polyprotein 1ab,8.980281512605043,3654,1,3654
1,vHMM_13101,k141_4086,100.0457,159,336,Picornaviridae,12.6,polyprotein,7.940134920634921,642,2,642
2,vHMM_2418,k141_4151,86.58583,1524,1698,Astroviridae,11.1,capsid;VP90,7.8005252252252255,3654,3,3654
3,vHMM_2425,k141_4151,116.26859,246,420,Astroviridae,15.5,polyprotein 1ab,7.50119935483871,3654,1,3654
4,vHMM_2428,k141_4151,91.54665,18,192,Astroviridae,12.7,polyprotein 1ab,7.208397637795276,3654,1,3654
5,vHMM_2429,k141_4151,75.0227,870,975,Astroviridae,10.8,polyprotein 1ab,6.946546296296296,3654,1,3654
6,vHMM_13401,k141_4086,75.91453,177,339,Kunsagivirus,12.2,polyprotein,6.222502459016393,642,2,642
7,vHMM_13240,k141_4086,66.29691,171,339,Avisivirus,13.0,polyprotein,5.099762307692307,642,2,642
8,vHMM_13564,k141_4086,69.35889,165,336,Potamipivirus,13.7,polyprotein,5.062692700729928,642,2,642
9,vHMM_2419,k141_4151,50.300583,1917,2007,Astroviridae,10.2,capsid;VP90,4.931429705882354,3654,3,3654
10,vHMM_2426,k141_4151,86.9765,426,597,Astroviridae,17.7,polyprotein 1ab,4.913926553672317,3654,1,3654
11,vHMM_2427,k141_4151,61.680233,999,1155,Astroviridae,12.8,polyprotein 1ab,4.818768203125,3654,1,3654
12,vHMM_2417,k141_4151,62.73173,2142,2256,Astroviridae,13.2,capsid;VP90,4.752403787878788,3654,3,3654
13,vHMM_13107,k141_4086,58.23318,177,339,Aalivirus,12.3,polyprotein,4.73440487804878,642,2,642
14,vHMM_13634,k141_4086,46.830452,162,333,Salivirus,10.7,polyprotein,4.376677757009346,642,2,642
15,vHMM_13101,k141_3411,51.71461,2483,2306,Picornaviridae,12.6,polyprotein,4.104334126984127,3059,5,3059
16,vHMM_13279,k141_4086,53.28926,165,273,Crohivirus,13.4,polyprotein,3.976810447761194,642,2,642
17,vHMM_13101,k141_4533,49.8997,4266,4089,Picornaviridae,12.6,polyprotein,3.960293650793651,4578,5,4578
18,vHMM_13218,k141_4086,47.96553,237,339,Aquamavirus,12.3,polyprotein,3.8996365853658537,642,2,642
19,vHMM_13479,k141_4086,50.726906,159,255,Parechovirus,13.2,polyprotein,3.8429474242424244,642,2,642
20,vHMM_2484,k141_4151,39.409393,9,75,Mamastrovirus,10.6,polyprotein 1ab,3.717867264150944,3654,1,3654
21,vHMM_13501,k141_4086,48.106735,165,279,Pasivirus,13.1,polyprotein,3.6722698473282445,642,2,642
