,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_13440,k141_21059,5.1125646,174,204,Livupivirus,1.9,polyprotein,2.6908234736842105,279,1,279
1,vHMM_13440,k141_21059,5.1125646,36,66,Livupivirus,1.9,polyprotein,2.6908234736842105,279,1,279
2,vHMM_3413,k141_3065,13.718193,48,87,Vesivirus,6.6,capsid,2.078514090909091,316,3,316
3,vHMM_13728,k141_2704,10.751052,75,54,Tremovirus,5.5,polyprotein,1.9547367272727272,402,5,402
4,vHMM_13728,k141_7838,10.748018,1093,1066,Tremovirus,5.5,polyprotein,1.954185090909091,1189,5,1189
5,vHMM_3457,k141_17646,12.703319,126,186,Norovirus,6.7,polyprotein;nonstructural,1.8960177611940299,951,3,951
6,vHMM_13733,k141_10939,15.339166,235,175,Tremovirus,8.6,polyprotein,1.7836239534883722,316,6,316
7,vHMM_13335,k141_12295,11.706217,325,280,Harkavirus,6.8,polyprotein,1.7215025000000002,355,6,355
8,vHMM_13335,k141_7082,11.552879,164,125,Harkavirus,6.8,polyprotein,1.6989527941176472,512,6,512
9,vHMM_3411,k141_10725,23.302309,96,165,Vesivirus,14.2,capsid,1.6410076760563381,481,1,481
10,vHMM_13500,k141_14401,17.469133,208,172,Pasivirus,10.7,polyprotein,1.6326292523364487,322,4,322
11,vHMM_13109,k141_8625,13.442137,152,113,Aalivirus,8.6,polyprotein,1.5630391860465118,341,4,341
12,vHMM_13392,k141_20741,12.408419,93,162,Kunsagivirus,8.3,polyprotein,1.4949902409638554,307,2,307
13,vHMM_13149,k141_7316,12.50743,249,300,Ampivirus,8.4,polyprotein,1.4889797619047618,391,1,391
14,vHMM_13638,k141_2903,15.477374,174,195,Salivirus,10.5,polyprotein,1.474035619047619,1075,3,1075
15,vHMM_13374,k141_3780,14.250108,324,354,Hunnivirus,9.9,polyprotein,1.4394048484848485,404,1,404
16,vHMM_13117,k141_18463,14.712882,239,176,Aalivirus,10.3,polyprotein,1.428435145631068,473,4,473
