,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_18373,k141_22864,25.576025,455,152,Cosavirus,8.6,polyprotein,2.9739563953488375,617,5,617
1,vHMM_18374,k141_22864,23.988768,452,152,Crohivirus,8.4,polyprotein,2.8558057142857143,617,5,617
2,vHMM_13629,k141_2854,12.3970175,71,32,Sakobuvirus,4.8,polyprotein,2.582711979166667,308,5,308
3,vHMM_13629,k141_11782,12.352917,477,438,Sakobuvirus,4.8,polyprotein,2.573524375,606,6,606
4,vHMM_21553,k141_22864,29.369717,449,158,Parechovirus,12.0,polyprotein_custom,2.447476416666667,617,5,617
5,vHMM_13728,k141_34823,12.060613,354,318,Tremovirus,5.5,polyprotein,2.1928387272727274,408,4,408
6,vHMM_3413,k141_8019,14.446398,260,170,Vesivirus,6.6,capsid,2.188848181818182,350,4,350
7,vHMM_13728,k141_40588,11.931206,230,194,Tremovirus,5.5,polyprotein,2.1693101818181817,311,5,311
8,vHMM_13327,k141_28529,15.108825,266,227,Harkavirus,7.1,polyprotein,2.1280035211267605,338,4,338
9,vHMM_3457,k141_35365,13.83202,12,54,Norovirus,6.7,polyprotein;nonstructural,2.064480597014925,311,1,311
10,vHMM_21553,k141_20263,24.659956,428,161,Parechovirus,12.0,polyprotein_custom,2.0549963333333334,494,5,494
11,vHMM_13691,k141_33196,16.781971,96,138,Teschovirus,8.2,polyprotein,2.046581829268293,409,2,409
12,vHMM_18378,k141_36054,18.948982,3,243,Harkavirus,9.4,polyprotein,2.0158491489361703,313,2,313
13,vHMM_13392,k141_27099,16.3895,54,153,Kunsagivirus,8.3,polyprotein,1.9746385542168674,316,3,316
14,vHMM_18375,k141_22864,24.655579,485,152,Enterovirus,13.0,polyprotein,1.896583,617,5,617
15,vHMM_18387,k141_22864,29.74777,452,155,Parechovirus,15.8,polyprotein,1.882770253164557,617,5,617
16,vHMM_13728,k141_6388,10.03372,267,294,Tremovirus,5.5,polyprotein,1.8243127272727273,314,2,314
17,vHMM_13629,k141_28188,8.5062065,211,166,Sakobuvirus,4.8,polyprotein,1.7721263541666665,340,6,340
