,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_13440,k141_35198,14.27875,213,243,Livupivirus,1.9,polyprotein,7.515131578947369,533,1,533
1,vHMM_13440,k141_247028,13.904569,60,87,Livupivirus,1.9,polyprotein,7.3181942105263165,385,1,385
2,vHMM_13440,k141_244175,12.791573,75,123,Livupivirus,1.9,polyprotein,6.732406842105263,406,3,406
3,vHMM_13440,k141_494453,12.618766,135,66,Livupivirus,1.9,polyprotein,6.641455789473685,303,6,303
4,vHMM_13440,k141_459550,11.802045,39,78,Livupivirus,1.9,polyprotein,6.211602631578947,339,1,339
5,vHMM_13440,k141_284997,11.067349,63,96,Livupivirus,1.9,polyprotein,5.82492052631579,316,3,316
6,vHMM_13440,k141_235,10.796875,387,351,Livupivirus,1.9,polyprotein,5.682565789473684,477,6,477
7,vHMM_13440,k141_361530,10.204217,150,186,Livupivirus,1.9,polyprotein,5.37064052631579,324,2,324
8,vHMM_13440,k141_220627,7.703845,45,12,Livupivirus,1.9,polyprotein,4.054655263157895,381,4,381
9,vHMM_18373,k141_477837,31.580187,313,28,Cosavirus,8.6,polyprotein,3.6721147674418604,316,6,316
10,vHMM_13629,k141_136984,14.6614275,144,84,Sakobuvirus,4.8,polyprotein,3.0544640625,390,6,390
11,vHMM_18393,k141_477837,28.730106,286,19,Rosavirus,9.9,polyprotein,2.902030909090909,316,6,316
12,vHMM_18389,k141_477837,31.23453,307,19,Passerivirus,10.8,polyprotein,2.892086111111111,316,6,316
13,vHMM_13629,k141_125317,13.068779,228,177,Sakobuvirus,4.8,polyprotein,2.7226622916666665,546,4,546
14,vHMM_3413,k141_234,17.910788,670,613,Vesivirus,6.6,capsid,2.7137557575757576,724,4,724
15,vHMM_13629,k141_355710,12.945439,207,177,Sakobuvirus,4.8,polyprotein,2.6969664583333337,579,6,579
16,vHMM_18378,k141_477837,25.210005,304,25,Harkavirus,9.4,polyprotein,2.6819154255319146,316,6,316
17,vHMM_13327,k141_593026,18.90084,260,224,Harkavirus,7.1,polyprotein,2.6620901408450703,353,5,353
18,vHMM_18379,k141_477837,31.038074,304,22,Hepatovirus,11.8,polyprotein,2.6303452542372883,316,6,316
19,vHMM_21553,k141_477837,31.49124,307,10,Parechovirus,12.0,polyprotein_custom,2.62427,316,6,316
20,vHMM_13440,k141_656148,4.9314723,6,36,Livupivirus,1.9,polyprotein,2.5955117368421057,339,1,339
21,vHMM_13440,k141_656148,4.9314723,204,234,Livupivirus,1.9,polyprotein,2.5955117368421057,339,1,339
22,vHMM_13728,k141_273839,14.24676,411,441,Tremovirus,5.5,polyprotein,2.59032,467,2,467
23,vHMM_18389,k141_612174,27.858898,309,15,Passerivirus,10.8,polyprotein,2.5795275925925925,531,5,531
24,vHMM_18393,k141_390397,25.508959,298,4,Rosavirus,9.9,polyprotein,2.5766625252525253,385,6,385
25,vHMM_18374,k141_477837,21.61416,307,10,Crohivirus,8.4,polyprotein,2.5731142857142855,316,6,316
26,vHMM_3441,k141_435639,15.324462,343,238,Lagovirus,6.0,polyprotein;nonstructural,2.554077,400,5,400
27,vHMM_18377,k141_477837,31.626732,310,19,Gallivirus,12.5,polyprotein,2.53013856,316,6,316
28,vHMM_13330,k141_481263,17.391388,144,201,Harkavirus,7.0,polyprotein,2.4844839999999997,379,1,379
29,vHMM_18374,k141_326345,20.401283,763,361,Crohivirus,8.4,polyprotein,2.4287241666666666,1393,6,1393
30,vHMM_13327,k141_385417,17.192223,612,555,Harkavirus,7.1,polyprotein,2.4214398591549293,669,4,669
31,vHMM_13728,k141_89354,13.304615,241,208,Tremovirus,5.5,polyprotein,2.419020909090909,496,6,496
32,vHMM_18382,k141_477837,27.811728,301,10,Limnipivirus,11.6,polyprotein,2.3975627586206896,316,6,316
33,vHMM_13629,k141_1663,11.469149,126,156,Sakobuvirus,4.8,polyprotein,2.3894060416666667,340,2,340
