,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_21550,k141_57972,792.236,3732,2190,Astroviridae,15.0,1B,52.815733333333334,5601,5,5601
1,vHMM_21551,k141_57972,694.86664,2172,9,Astroviridae,15.0,2,46.32444266666666,5601,5,5601
2,vHMM_21549,k141_57972,692.2472,5586,3690,Astroviridae,15.0,1A,46.149813333333334,5601,6,5601
3,vHMM_8269,k141_57972,607.13947,2169,93,Astroviridae,16.0,capsid;VP90,37.946216875,5601,5,5601
4,vHMM_21553,k141_291,439.35062,3,1035,Parechovirus,12.0,polyprotein_custom,36.61255166666667,1048,3,1048
5,vHMM_21553,k141_18991,365.64044,808,4,Parechovirus,12.0,polyprotein_custom,30.47003666666667,814,6,814
6,vHMM_8272,k141_57972,768.34106,3732,2190,Mamastrovirus,25.6,polyprotein 1ab,30.013322656249997,5601,5,5601
7,vHMM_8271,k141_57972,510.5965,3711,2313,Avastrovirus,17.8,polyprotein 1ab,28.685196629213483,5601,5,5601
8,vHMM_18374,k141_291,237.00046,3,966,Crohivirus,8.4,polyprotein,28.214340476190475,1048,3,1048
9,vHMM_18374,k141_18991,230.31483,790,7,Crohivirus,8.4,polyprotein,27.418432142857142,814,6,814
10,vHMM_8270,k141_57972,811.6103,3732,2190,Astroviridae,30.4,polyprotein 1ab,26.69770723684211,5601,5,5601
11,vHMM_18387,k141_291,412.16592,3,1038,Parechovirus,15.8,polyprotein,26.086450632911394,1048,3,1048
12,vHMM_18379,k141_13852,272.12363,6,459,Hepatovirus,11.8,polyprotein,23.061324576271183,461,2,461
13,vHMM_18379,k141_31775,232.30292,356,2,Hepatovirus,11.8,polyprotein,19.68668813559322,359,4,359
14,vHMM_18388,k141_291,245.84058,3,978,Pasivirus,12.6,polyprotein,19.511157142857144,1048,3,1048
15,vHMM_18387,k141_18991,301.8504,805,4,Parechovirus,15.8,polyprotein,19.10445569620253,814,6,814
16,vHMM_18385,k141_2056,238.37323,6,444,Mosavirus,13.1,polyprotein,18.196429770992367,448,3,448
17,vHMM_8272,k141_57972,394.35202,5520,3702,Mamastrovirus,25.6,polyprotein 1ab,15.404375781249998,5601,6,5601
18,vHMM_18374,k141_49572,128.11685,4209,3012,Crohivirus,8.4,polyprotein,15.252005952380951,5310,6,5310
19,vHMM_18379,k141_55334,175.77582,3999,6102,Hepatovirus,11.8,polyprotein,14.89625593220339,6106,1,6106
20,vHMM_18379,k141_19204,167.17761,177,2190,Hepatovirus,11.8,polyprotein,14.167594067796609,2367,1,2367
21,vHMM_18379,k141_57591,166.81677,111,2085,Hepatovirus,11.8,polyprotein,14.13701440677966,2114,1,2114
22,vHMM_18379,k141_39545,164.46599,3830,1820,Hepatovirus,11.8,polyprotein,13.937795762711865,4103,5,4103
23,vHMM_18391,k141_291,157.22078,3,915,Potamipivirus,11.3,polyprotein,13.913343362831856,1048,3,1048
24,vHMM_18385,k141_14842,177.43716,3,393,Mosavirus,13.1,polyprotein,13.544821374045803,406,1,406
25,vHMM_18363,k141_46263,309.89087,1110,5769,Picornaviridae,23.0,polyprotein,13.473516086956522,8514,1,8514
26,vHMM_18373,k141_2056,115.78648,9,444,Cosavirus,8.6,polyprotein,13.463544186046512,448,3,448
27,vHMM_18379,k141_49572,158.06885,5064,2970,Hepatovirus,11.8,polyprotein,13.395665254237286,5310,6,5310
28,vHMM_18378,k141_25816,125.90056,3418,2218,Harkavirus,9.4,polyprotein,13.39367659574468,8533,6,8533
29,vHMM_18363,k141_54867,299.31708,1638,5091,Picornaviridae,23.0,polyprotein,13.01378608695652,5097,1,5097
30,vHMM_18363,k141_31022,296.79236,1545,5304,Picornaviridae,23.0,polyprotein,12.904015652173912,7412,3,7412
31,vHMM_18363,k141_57591,294.06738,105,2094,Picornaviridae,23.0,polyprotein,12.785538260869567,2114,1,2114
32,vHMM_18363,k141_56471,292.5365,6952,3040,Picornaviridae,23.0,polyprotein,12.718978260869564,8101,4,8101
33,vHMM_21553,k141_38067,152.23134,3,408,Parechovirus,12.0,polyprotein_custom,12.685944999999998,410,2,410
34,vHMM_18363,k141_10860,289.1913,4024,463,Picornaviridae,23.0,polyprotein,12.573534782608697,5704,5,5704
35,vHMM_18363,k141_36735,286.9164,2748,132,Picornaviridae,23.0,polyprotein,12.474626086956523,5505,5,5505
36,vHMM_18379,k141_56471,147.14453,1957,58,Hepatovirus,11.8,polyprotein,12.469875423728814,8101,4,8101
37,vHMM_18379,k141_38826,145.98064,4405,3142,Hepatovirus,11.8,polyprotein,12.371240677966101,9406,4,9406
38,vHMM_18363,k141_49572,284.3268,5085,3033,Picornaviridae,23.0,polyprotein,12.362034782608696,5310,6,5310
39,vHMM_18379,k141_56531,145.3588,132,1857,Hepatovirus,11.8,polyprotein,12.318542372881355,1916,2,1916
40,vHMM_18363,k141_51006,282.44238,1755,5763,Picornaviridae,23.0,polyprotein,12.28010347826087,8827,2,8827
41,vHMM_18379,k141_11209,143.57126,5027,2762,Hepatovirus,11.8,polyprotein,12.16705593220339,5861,6,5861
42,vHMM_18379,k141_32951,143.52008,999,3015,Hepatovirus,11.8,polyprotein,12.162718644067796,3049,3,3049
