,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_8269,k141_17841,595.3128,1251,3339,Astroviridae,16.0,capsid;VP90,37.20705,3625,2,3625
1,vHMM_8269,k141_18307,388.67627,707,86,Astroviridae,16.0,capsid;VP90,24.292266875,725,4,725
2,vHMM_8271,k141_17841,431.97018,39,1170,Avastrovirus,17.8,polyprotein 1ab,24.267987640449437,3625,2,3625
3,vHMM_8272,k141_17841,618.95575,45,1218,Mamastrovirus,25.6,polyprotein 1ab,24.177958984374996,3625,2,3625
4,vHMM_8270,k141_17841,659.8383,42,1218,Astroviridae,30.4,polyprotein 1ab,21.705207236842107,3625,2,3625
5,vHMM_8272,k141_2877,456.75262,2636,257,Mamastrovirus,25.6,polyprotein 1ab,17.841899218749997,2687,4,2687
6,vHMM_18363,k141_48784,331.25494,3402,7926,Picornaviridae,23.0,polyprotein,14.402388695652173,8616,1,8616
7,vHMM_18363,k141_72851,313.86633,7423,3400,Picornaviridae,23.0,polyprotein,13.646362173913044,8917,5,8917
8,vHMM_8270,k141_2877,413.91708,2636,260,Astroviridae,30.4,polyprotein 1ab,13.615693421052633,2687,4,2687
9,vHMM_8271,k141_75401,242.21152,24,495,Avastrovirus,17.8,polyprotein 1ab,13.607388764044943,496,1,496
10,vHMM_18363,k141_6542,291.78568,7611,3645,Picornaviridae,23.0,polyprotein,12.686333913043478,8118,5,8118
11,vHMM_8272,k141_75401,312.36502,6,495,Mamastrovirus,25.6,polyprotein 1ab,12.20175859375,496,1,496
12,vHMM_8270,k141_75401,334.85052,6,495,Astroviridae,30.4,polyprotein 1ab,11.014819736842107,496,1,496
13,vHMM_18379,k141_50017,129.73647,1768,223,Hepatovirus,11.8,polyprotein,10.994616101694914,2395,5,2395
14,vHMM_18373,k141_48784,91.293144,6888,7743,Cosavirus,8.6,polyprotein,10.615481860465117,8616,1,8616
15,vHMM_18367,k141_72851,114.57025,5194,3580,Aphthovirus,10.9,polyprotein,10.511032110091742,8917,5,8917
16,vHMM_18379,k141_7465,121.33013,5073,7518,Hepatovirus,11.8,polyprotein,10.28221440677966,7964,3,7964
17,vHMM_8272,k141_61790,262.7352,534,3,Mamastrovirus,25.6,polyprotein 1ab,10.26309375,543,5,543
18,vHMM_18363,k141_100218,234.65878,7356,9876,Picornaviridae,23.0,polyprotein,10.202555652173913,10315,3,10315
19,vHMM_18379,k141_100218,119.689644,8634,9873,Hepatovirus,11.8,polyprotein,10.143190169491525,10315,3,10315
20,vHMM_18374,k141_100218,84.904785,8094,9807,Crohivirus,8.4,polyprotein,10.1077125,10315,3,10315
21,vHMM_18371,k141_61985,137.24059,3,387,Bopivirus,13.7,polyprotein,10.017561313868613,387,1,387
22,vHMM_18379,k141_48784,114.54522,6546,7767,Hepatovirus,11.8,polyprotein,9.707222033898304,8616,1,8616
23,vHMM_18379,k141_72851,114.35128,4792,3502,Hepatovirus,11.8,polyprotein,9.690786440677966,8917,5,8917
24,vHMM_18374,k141_48784,80.64675,6588,7851,Crohivirus,8.4,polyprotein,9.600803571428571,8616,1,8616
25,vHMM_18373,k141_51874,81.87838,1078,727,Cosavirus,8.6,polyprotein,9.520741860465117,1165,6,1165
26,vHMM_18379,k141_38452,110.79311,1336,124,Hepatovirus,11.8,polyprotein,9.38924661016949,10042,5,10042
27,vHMM_18379,k141_62042,109.89855,2592,588,Hepatovirus,11.8,polyprotein,9.313436440677966,6096,6,6096
28,vHMM_18374,k141_72851,78.12534,4783,3412,Crohivirus,8.4,polyprotein,9.300635714285713,8917,5,8917
29,vHMM_18373,k141_79665,79.7734,402,57,Cosavirus,8.6,polyprotein,9.275976744186046,939,6,939
30,vHMM_18378,k141_100218,87.19235,8877,9621,Harkavirus,9.4,polyprotein,9.275781914893617,10315,3,10315
31,vHMM_18371,k141_100218,123.85521,8118,9795,Bopivirus,13.7,polyprotein,9.040526277372264,10315,3,10315
32,vHMM_18373,k141_100218,76.92937,8862,9810,Cosavirus,8.6,polyprotein,8.94527558139535,10315,3,10315
33,vHMM_18379,k141_6542,105.300735,4758,3627,Hepatovirus,11.8,polyprotein,8.923791101694915,8118,5,8118
34,vHMM_18363,k141_38452,204.94238,2353,88,Picornaviridae,23.0,polyprotein,8.910538260869567,10042,5,10042
35,vHMM_8270,k141_61790,270.52155,534,3,Astroviridae,30.4,polyprotein 1ab,8.89873519736842,543,5,543
